area_building_envelope,area_heat,area_roof,area_underground,area_window_door,building_height,building_id,building_length,building_width,city,floor_height,floor_number,h_t,power_sum,power_trans,power_vent,thermal_protection,vol_building_vent,year,zip_code
735.0,754.0,320.0,320.0,105.0,10.0,58,32.0,10.0,Wetter,2.5,4.0,1.0,65177.6,24000.0,6374.4,teilsaniert,3200.0,1940.0,58300
787.5,605.0,260.0,260.0,76.5,12.0,26,26.0,10.0,Mönchengladbach,2.5,4.0,0.9,48900.48,17424.0,6215.04,unsaniert,3120.0,1963.0,41238
489.6,,480.0,480.0,134.4,12.0,57,12.0,40.0,Mönchengladbach,2.7,4.0,0.9,80365.92,13230.0,11473.92,unsaniert,5760.0,1950.0,41179
787.5,615.0,260.0,260.0,76.5,12.0,52,26.0,10.0,Mönchengladbach,2.5,4.0,0.9,49188.48,17712.0,6215.04,unsaniert,3120.0,1963.0,41238
,,,,,,17,,,Mönchengladbach,,,,,,,,,,41068
652.5,545.0,242.0,242.0,139.5,12.0,2,22.0,11.0,Kronberg,2.5,4.0,0.9,62723.01,18777.6,5784.77,unsaniert,2904.0,1950.0,61476
652.5,547.0,242.0,242.0,139.5,12.0,45,22.0,11.0,Kronberg,2.5,4.0,0.9,62723.01,18777.6,5784.77,unsaniert,2904.0,1950.0,61476
,680.0,,,,,16,,,Mönchengladbach,2.6,3.0,,,,,unsaniert,,,41068
751.5,940.0,720.0,720.0,256.5,8.0,47,48.0,15.0,Köln,2.5,2.0,0.8,112001.28,21427.2,11473.92,teilsaniert,5760.0,1960.0,51147
751.5,940.0,720.0,720.0,256.5,8.0,50,48.0,15.0,Köln,2.5,2.0,0.8,139622.08,27980.8,11473.92,teilsaniert,5760.0,1960.0,51147
642.0,535.0,243.0,243.0,78.0,10.0,28,27.0,9.0,Wetter,2.5,4.0,1.0,49670.96,20544.0,4840.56,teilsaniert,2430.0,1943.0,58300
642.0,456.0,243.0,243.0,78.0,10.0,13,27.0,9.0,Wetter,2.5,4.0,1.0,49670.96,20544.0,4840.56,teilsaniert,2430.0,1943.0,58300
690.0,522.0,270.0,270.0,90.0,10.0,46,30.0,9.0,Wetter,2.5,4.0,1.0,55077.6,22080.0,5378.4,teilsaniert,2700.0,1940.0,58300
,,,,,,39,,,Frankfurt am Main,,,,,,,,,,60598
1080.0,585.3,380.0,380.0,720.0,12.5,14,15.0,57.0,Frankfurt am Main,,,0.9,115218.7,31104.0,10687.5,,10687.5,1950.0,60598
652.5,545.0,242.0,242.0,139.5,12.0,53,22.0,11.0,Kronberg,2.5,4.0,0.9,62723.01,18777.6,5784.77,unsaniert,2904.0,1950.0,61476
652.5,547.0,242.0,242.0,139.5,12.0,18,22.0,11.0,Kronberg,2.5,4.0,0.9,62723.01,18777.6,5784.77,unsaniert,2904.0,1950.0,61476
937.5,811.0,396.0,396.0,190.5,12.0,73,36.0,11.0,Kronberg,2.5,4.0,0.9,93571.58,26985.6,9465.98,unsaniert,4752.0,1950.0,61476
,735.0,,,,,7,,,Bad Driburg,2.6,3.0,,,,,WVS,,,33014
489.6,604.44,480.0,480.0,134.4,12.0,66,12.0,40.0,Bad Driburg,2.7,2.0,1.0,79675.2,15680.0,14342.4,12 cm Wärmedämmung,5760.0,1950.0,33014
,735.0,,,,,38,,,Bad Driburg,2.6,3.0,,,,,WVS,,,33014
,735.0,,,,,74,,,Bad Driburg,2.6,3.0,,,,,WVS,,,33014
489.6,602.04,480.0,480.0,134.4,12.0,4,12.0,40.0,Bad Driburg,2.7,2.0,1.0,79675.2,15680.0,14342.4,12 cm Wärmedämmung,5760.0,1950.0,33014
,,,,,,20,,,Bad Driburg,2.6,3.0,,,,,WVS,,,33014
474.0,556.0,380.0,380.0,102.0,12.0,23,10.0,38.0,Wuppertal,3.0,4.0,1.7,64004.52,24174.0,9083.52,unsaniert,4560.0,1927.0,42117
,,,,,,21,,,Wuppertal,,,,,,,unsaniert,,,42117
550.0,408.0,160.0,240.0,90.0,10.0,10,20.0,12.0,Dortmund,2.5,3.0,0.8,36793.6,14848.0,4780.8,saniert,2400.0,1960.0,44319
429.0,,300.0,300.0,51.0,12.0,24,10.0,30.0,Marl,2.7,4.0,1.0,36976.2,12900.0,7171.2,unsaniert,3600.0,1934.0,45768
620.0,616.0,102.0,340.0,84.0,8.0,48,34.0,10.0,Bottrop,2.5,3.0,1.7,65120.64,33728.0,5418.24,unsaniert,2720.0,1929.0,46238
620.0,606.0,102.0,340.0,84.0,8.0,5,34.0,10.0,Bottrop,2.5,3.0,1.7,65120.64,33728.0,5418.24,unsaniert,2720.0,1929.0,46238
572.0,539.0,93.0,310.0,84.0,8.0,31,31.0,10.0,Bottrop,2.5,3.0,1.7,61364.16,31116.8,4940.16,unsaniert,2480.0,1929.0,46238
